product,signup_status,signup_label,signup_summary,use_status,guide,signup_sources
Cloudflare,conditional,With conditions,Start a preview before signing in.,agent-ready,https://canmyagentuse.com/products/cloudflare,https://developers.cloudflare.com/workers/platform/claim-deployments/
Gmail,human-step,Human step,Create the Google account first.,agent-ready,https://canmyagentuse.com/products/gmail,https://support.google.com/accounts/answer/27441 | https://developers.google.com/workspace/gmail/api/quickstart/python
Salesforce,conditional,With conditions,Create a scratch org after Dev Hub setup.,agent-ready,https://canmyagentuse.com/products/salesforce,https://developer.salesforce.com/docs/platform/connect-rest-api/guide/quickstart.html | https://developer.salesforce.com/docs/platform/salesforce-cli-reference/guide/cli_reference_org_create_scratch.html | https://trailhead.salesforce.com/content/learn/modules/sfdx_app_dev/sfdx_app_dev_create_app | https://admin.salesforce.com/blog/2023/sandboxes-vs-scratch-orgs-and-how-to-use-them | https://developer.salesforce.com/docs/platform/pkg2-dev/guide/sfdx-pkg-enable-devhub.html
Notion,unknown,Not verified,Autonomous workspace signup is not verified.,agent-ready,https://canmyagentuse.com/products/notion,https://developers.notion.com/guides/mcp/get-started-with-mcp
Obsidian,conditional,With conditions,The local file route starts with a vault.,agent-ready,https://canmyagentuse.com/products/obsidian,https://obsidian.md/help/Files+and+folders/How+Obsidian+stores+data | https://obsidian.md/help/sync/setup
OneNote,unknown,Not verified,Autonomous account creation is not assessed.,agent-ready,https://canmyagentuse.com/products/onenote,
GitHub,unknown,Not verified,Autonomous account creation is not assessed.,agent-ready,https://canmyagentuse.com/products/github,
Slack,unknown,Not verified,Autonomous account creation is not assessed.,agent-ready,https://canmyagentuse.com/products/slack,
Linear,unknown,Not verified,Autonomous account creation is not assessed.,agent-ready,https://canmyagentuse.com/products/linear,
Atom Tickets,unknown,Not verified,Autonomous account signup is not verified.,conditional,https://canmyagentuse.com/products/atom-tickets,
AMC Theatres,unknown,Not verified,Autonomous consumer signup is not verified.,conditional,https://canmyagentuse.com/products/amc-theatres,
Best Buy,unknown,Not verified,Agent-created shopping accounts are unverified.,agent-ready,https://canmyagentuse.com/products/best-buy,
Amazon,unknown,Not verified,Autonomous Amazon signup is not verified.,conditional,https://canmyagentuse.com/products/amazon,
Vercel,human-step,Human step,Verify an account and claim the preview.,agent-ready,https://canmyagentuse.com/products/vercel,https://vercel.com/docs/accounts | https://github.com/vercel-labs/agent-skills/blob/main/skills/deploy-to-vercel/SKILL.md | https://vercel.com/kb/guide/ai-agents
Supabase,unknown,Not verified,Account signup is not verified.,agent-ready,https://canmyagentuse.com/products/supabase,https://supabase.com/docs/guides/integrations/build-a-supabase-oauth-integration
Sentry,unknown,Not verified,Autonomous account creation is not verified.,agent-ready,https://canmyagentuse.com/products/sentry,https://docs.sentry.io/api/projects/create-a-project-for-an-organization/ | https://docs.sentry.io/organization/data-storage-location/ | https://docs.sentry.io/get-started/
Airtable,unknown,Not verified,Web account signup is documented; autonomous signup is not verified.,agent-ready,https://canmyagentuse.com/products/airtable,https://support.airtable.com/articles/2675548758-creating-canceling-and-deleting-your-airtable-account
Asana,unknown,Not verified,Autonomous account creation is not verified.,agent-ready,https://canmyagentuse.com/products/asana,https://developers.asana.com/docs/overview
Google Calendar,human-step,Human step,Create or select the Google account first.,agent-ready,https://canmyagentuse.com/products/google-calendar,https://support.google.com/accounts/answer/27441?hl=en | https://support.google.com/calendar/answer/2465776?hl=en | https://developers.google.com/workspace/calendar/api/quickstart/python
Resend,human-step,Human step,A person creates the Resend account and accepts its terms.,conditional,https://canmyagentuse.com/products/resend,https://resend.com/signup | https://resend.com/docs/knowledge-base/does-resend-require-production-approval
AgentMail,conditional,With conditions,Agent starts signup; you complete the OTP.,agent-ready,https://canmyagentuse.com/products/agentmail,https://docs.agentmail.to/quickstart | https://docs.agentmail.to/knowledge-base/getting-api-key
Postmark,human-step,Human step,Create and confirm the Postmark account yourself.,conditional,https://canmyagentuse.com/products/postmark,https://postmarkapp.com/developer/get-started | https://postmarkapp.com/support/article/1084-how-does-the-account-approval-process-work
