surface_id,product_id,surface_name,surface_type,version_or_observation,availability,coverage_tier,source_key,registry_role,registry_version,notes
claude-code-cli,claude-code,Claude Code CLI / local host,cli,2.1.232+ / observed 2026-08-28,ga,A,S-010,,,
claude-agent-acp-wrapper,claude-acp-wrapper,Claude Agent ACP wrapper,acp-adapter,0.70.0,ga,C,S-001,acp-agent,0.70.0,
chatgpt-web,chatgpt,ChatGPT web,web,hosted observed 2026-08-28,ga,A,S-020,,,
chatgpt-desktop,chatgpt,ChatGPT desktop / Codex host,desktop,observed 2026-08-28,ga,A,S-021,,,
chatgpt-mobile,chatgpt,ChatGPT mobile,mobile,observed 2026-08-28,ga,A,S-020,,,
codex-cli,codex,Codex CLI,cli,observed 2026-08-28,ga,A,S-022,,,
codex-ide,codex,Codex IDE extension,ide-extension,observed 2026-08-28,ga,A,S-021,,,
codex-acp-adapter,codex-acp-adapter,Codex ACP adapter,acp-adapter,1.7.0,ga,C,S-001,acp-agent,1.7.0,
cursor-editor,cursor,Cursor editor agent,native-editor-agent,observed 2026-08-28,ga,A,S-030,,,
cursor-cli,cursor,Cursor CLI agent,cli,2026.08.11,ga,A,S-034,acp-agent,2026.08.11,
cursor-cloud-agent,cursor,Cursor Cloud Agent,cloud-agent,hosted observed 2026-08-28,ga,A,S-035,,,
vscode-agent-host,vscode-agent-host,VS Code agent/plugin host,ide-host,1.133,ga,A,S-040,,,
copilot-vscode,github-copilot,GitHub Copilot in VS Code,ide-extension,VS Code 1.133 / observed 2026-08-28,ga,A,S-040,,,
copilot-cli,github-copilot,GitHub Copilot CLI,cli,1.0.81 registry observation,ga,B,S-001,acp-agent,1.0.81,
copilot-cloud-agent,github-copilot,GitHub Copilot cloud agent,cloud-agent,hosted observed 2026-08-28,ga,A,S-042,,,
copilot-code-review,github-copilot,GitHub Copilot code review,cloud-code-review,hosted observed 2026-08-28,ga,A,S-044,,,
gemini-cli,gemini-cli,Gemini CLI,cli,0.57.0 registry / observed 2026-08-28,ga,A,S-050,acp-agent,0.57.0,
google-antigravity,google-antigravity,Google Antigravity ACP agent,acp-agent,1.0.0,ga,C,S-001,acp-agent,1.0.0,
zed-native-agent,zed,Zed native Agent,native-editor-agent,observed 2026-08-28,ga,A,S-060,,,
zed-acp-host,zed,Zed external-agent ACP host,acp-client,observed 2026-08-28,ga,A,S-061,acp-client,v1,
jetbrains-native-agent,jetbrains-ai-assistant,JetBrains native AI Assistant,ide-agent,observed 2026-08-28,ga,A,S-070,,,
jetbrains-acp-host,jetbrains-ai-assistant,JetBrains ACP host,acp-client,observed 2026-08-28,ga,A,S-071,acp-client,v1,
junie-acp-agent,junie,Junie ACP agent,acp-agent,3032.2.0,ga,B,S-001,acp-agent,3032.2.0,
kiro-ide,kiro,Kiro IDE,ide-agent,observed 2026-08-28,ga,A,S-080,,,
kiro-cli,kiro,Kiro CLI 3,cli,3.x / observed 2026-08-28,ga,A,S-083,,,
kiro-web,kiro,Kiro Web,web-agent,hosted observed 2026-08-28,ga,A,S-080,,,
kiro-mobile,kiro,Kiro Mobile,mobile-agent,preview observed 2026-08-28,preview,A,S-080,,,
cline-vscode,cline,Cline VS Code extension,ide-extension,observed 2026-08-28,ga,A,S-091,,,
cline-cli,cline,Cline CLI,cli,3.0.60,ga,A,S-092,acp-agent,3.0.60,
opencode-cli,opencode,OpenCode CLI/TUI,cli,1.18.25,ga,A,S-100,acp-agent,1.18.25,
opencode-desktop,opencode,OpenCode desktop,desktop,observed 2026-08-28,ga,A,S-100,,,
opencode-ide,opencode,OpenCode IDE extension,ide-extension,observed 2026-08-28,ga,A,S-100,,,
continue-agent-mode,continue,Continue Agent mode,ide-agent-mode,observed 2026-08-28,ga,A,S-110,,,
continue-plan-mode,continue,Continue Plan mode,ide-plan-mode,observed 2026-08-28,ga,A,S-111,,,
