source_key,title,url,archive_url,publisher,published_at,retrieved_at_utc,source_type,role,confidence,notes
S-001,ACP Registry,https://agentclientprotocol.com/get-started/registry,[archive-failed: automated archive submission unavailable in this environment],Agent Client Protocol,live docs,2026-08-28T19:48:01Z,registry,canonical,high,Curated ACP-compatible agents that support authentication; proves ACP agent distribution/role only.
S-002,Agent Plugins compatible clients,https://agent-plugins.org/compatible-clients,[archive-failed: automated archive submission unavailable in this environment],Agent Plugins,live docs,2026-08-28T19:48:01Z,registry,canonical,high,Official client list with supported portable components and MCP transports.
S-003,Agent Plugins Specification 1.0.0,https://agent-plugins.org/specification,[archive-failed: automated archive submission unavailable in this environment],Agent Plugins,2026,2026-08-28T19:48:01Z,standard/spec,canonical,high,Published normative package format; exactly Skills and MCP server components in core v1.
S-004,Agent Skills Specification,https://agentskills.io/specification,[archive-failed: automated archive submission unavailable in this environment],Agent Skills,live docs,2026-08-28T19:48:01Z,standard/spec,canonical,high,
S-005,MCP Specification 2026-07-28,https://modelcontextprotocol.io/specification/2026-07-28,[archive-failed: automated archive submission unavailable in this environment],Model Context Protocol,2026-07-28,2026-08-28T19:48:01Z,standard/spec,canonical,high,
S-006,A2A Protocol latest specification,https://a2a-protocol.org/latest/specification/,[archive-failed: automated archive submission unavailable in this environment],A2A Protocol,live docs,2026-08-28T19:48:01Z,standard/spec,canonical,high,
S-010,Claude Code MCP,https://code.claude.com/docs/en/mcp,[archive-failed: automated archive submission unavailable in this environment],Anthropic,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-011,Claude Code Skills,https://code.claude.com/docs/en/skills,[archive-failed: automated archive submission unavailable in this environment],Anthropic,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-012,Claude Code Plugins reference,https://code.claude.com/docs/en/plugins-reference,[archive-failed: automated archive submission unavailable in this environment],Anthropic,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-013,Claude Code Hooks,https://code.claude.com/docs/en/hooks,[archive-failed: automated archive submission unavailable in this environment],Anthropic,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-014,Claude Code Subagents,https://code.claude.com/docs/en/sub-agents,[archive-failed: automated archive submission unavailable in this environment],Anthropic,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-015,Claude Code MCP optional-field issue,https://github.com/anthropics/claude-code/issues/88128,[archive-failed: automated archive submission unavailable in this environment],Anthropic GitHub,2026-08,2026-08-28T19:48:01Z,github,supporting,medium,Reproducible runtime report; not universal product status.
S-016,Claude Code MCP stale tools issue,https://github.com/anthropics/claude-code/issues/88172,[archive-failed: automated archive submission unavailable in this environment],Anthropic GitHub,2026-08,2026-08-28T19:48:01Z,github,supporting,low,
S-020,ChatGPT and Codex Plugins,https://learn.chatgpt.com/docs/plugins,[archive-failed: automated archive submission unavailable in this environment],OpenAI,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-021,ChatGPT and Codex MCP,https://learn.chatgpt.com/docs/extend/mcp,[archive-failed: automated archive submission unavailable in this environment],OpenAI,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-022,Codex CLI,https://developers.openai.com/codex/cli,[archive-failed: automated archive submission unavailable in this environment],OpenAI,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-023,Build Agent Skills for ChatGPT and Codex,https://developers.openai.com/codex/build-skills,[archive-failed: automated archive submission unavailable in this environment],OpenAI,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-024,Codex AGENTS.md,https://developers.openai.com/codex/agent-configuration/agents-md,[archive-failed: automated archive submission unavailable in this environment],OpenAI,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-025,Codex non-interactive mode,https://developers.openai.com/codex/non-interactive-mode,[archive-failed: automated archive submission unavailable in this environment],OpenAI,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-026,Codex Hooks,https://developers.openai.com/codex/hooks,[archive-failed: automated archive submission unavailable in this environment],OpenAI,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-027,Codex MCP server,https://developers.openai.com/codex/mcp-server,[archive-failed: automated archive submission unavailable in this environment],OpenAI,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,Deprecated MCP server command; App Server is the preferred integration.
S-028,Codex App Server,https://developers.openai.com/codex/app-server,[archive-failed: automated archive submission unavailable in this environment],OpenAI,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-030,Cursor Plugins,https://cursor.com/docs/plugins,[archive-failed: automated archive submission unavailable in this environment],Cursor,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-031,Cursor MCP,https://cursor.com/docs/mcp,[archive-failed: automated archive submission unavailable in this environment],Cursor,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-032,Cursor Hooks,https://cursor.com/docs/hooks,[archive-failed: automated archive submission unavailable in this environment],Cursor,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-033,Cursor Rules and AGENTS.md,https://cursor.com/docs/rules,[archive-failed: automated archive submission unavailable in this environment],Cursor,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-034,Cursor CLI,https://cursor.com/docs/cli/using,[archive-failed: automated archive submission unavailable in this environment],Cursor,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-035,Cursor Cloud Agents,https://cursor.com/docs/cloud-agent,[archive-failed: automated archive submission unavailable in this environment],Cursor,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-040,VS Code 1.133 release notes,https://code.visualstudio.com/updates/v1_133,[archive-failed: automated archive submission unavailable in this environment],Microsoft,2026-08-12,2026-08-28T19:48:01Z,vendor-release,canonical,high,
S-041,GitHub Copilot MCP in IDE,https://docs.github.com/copilot/customizing-copilot/using-model-context-protocol/extending-copilot-chat-with-mcp,[archive-failed: automated archive submission unavailable in this environment],GitHub,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-042,GitHub Copilot cloud agent MCP,https://docs.github.com/en/enterprise-cloud@latest/copilot/concepts/agents/cloud-agent/mcp-and-cloud-agent,[archive-failed: automated archive submission unavailable in this environment],GitHub,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-043,GitHub Copilot cloud agent,https://docs.github.com/copilot/concepts/agents/cloud-agent/about-cloud-agent,[archive-failed: automated archive submission unavailable in this environment],GitHub,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-044,GitHub Copilot code review,https://docs.github.com/copilot/how-tos/copilot-on-github/use-copilot-agents/copilot-code-review,[archive-failed: automated archive submission unavailable in this environment],GitHub,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
