registry,entry_name,version_or_components,mapped_surface_id,claim_scope,source_key,confidence,notes
ACP Registry,Agoragentic,1.3.0,agoragentic-acp-agent,ACP-compatible agent with authentication/distribution metadata,S-001,medium,Registry membership does not prove optional ACP methods or any MCP/Skills/Plugins support.
ACP Registry,Amp,0.9.0,amp-acp-agent,ACP-compatible agent with authentication/distribution metadata,S-001,medium,Registry membership does not prove optional ACP methods or any MCP/Skills/Plugins support.
ACP Registry,Auggie CLI,0.36.0,auggie-cli,ACP-compatible agent with authentication/distribution metadata,S-001,medium,Registry membership does not prove optional ACP methods or any MCP/Skills/Plugins support.
ACP Registry,Autohand Code,0.2.1,autohand-acp-agent,ACP-compatible agent with authentication/distribution metadata,S-001,medium,Registry membership does not prove optional ACP methods or any MCP/Skills/Plugins support.
ACP Registry,Claude Agent,0.70.0,claude-agent-acp-wrapper,ACP-compatible agent with authentication/distribution metadata,S-001,medium,Registry membership does not prove optional ACP methods or any MCP/Skills/Plugins support.
ACP Registry,Cline,3.0.60,cline-cli,ACP-compatible agent with authentication/distribution metadata,S-001,medium,Registry membership does not prove optional ACP methods or any MCP/Skills/Plugins support.
ACP Registry,Codebuddy Code,2.141.0,codebuddy-acp-agent,ACP-compatible agent with authentication/distribution metadata,S-001,medium,Registry membership does not prove optional ACP methods or any MCP/Skills/Plugins support.
ACP Registry,Codex,1.7.0,codex-acp-adapter,ACP-compatible agent with authentication/distribution metadata,S-001,medium,Registry membership does not prove optional ACP methods or any MCP/Skills/Plugins support.
ACP Registry,Cortex Code,1.0.73,snowflake-acp-agent,ACP-compatible agent with authentication/distribution metadata,S-001,medium,Registry membership does not prove optional ACP methods or any MCP/Skills/Plugins support.
ACP Registry,Corust Agent,0.6.0,corust-acp-agent,ACP-compatible agent with authentication/distribution metadata,S-001,medium,Registry membership does not prove optional ACP methods or any MCP/Skills/Plugins support.
ACP Registry,crow-cli,0.1.24,crow-acp-agent,ACP-compatible agent with authentication/distribution metadata,S-001,medium,Registry membership does not prove optional ACP methods or any MCP/Skills/Plugins support.
ACP Registry,Cursor,2026.08.11,cursor-cli,ACP-compatible agent with authentication/distribution metadata,S-001,medium,Registry membership does not prove optional ACP methods or any MCP/Skills/Plugins support.
ACP Registry,DeepAgents,0.1.7,deepagents-acp-agent,ACP-compatible agent with authentication/distribution metadata,S-001,medium,Registry membership does not prove optional ACP methods or any MCP/Skills/Plugins support.
ACP Registry,Devin,3000.6.2,devin-cli,ACP-compatible agent with authentication/distribution metadata,S-001,medium,Registry membership does not prove optional ACP methods or any MCP/Skills/Plugins support.
ACP Registry,DimCode,0.3.22,dimcode-acp-agent,ACP-compatible agent with authentication/distribution metadata,S-001,medium,Registry membership does not prove optional ACP methods or any MCP/Skills/Plugins support.
ACP Registry,Dirac,0.5.1,dirac-acp-agent,ACP-compatible agent with authentication/distribution metadata,S-001,medium,Registry membership does not prove optional ACP methods or any MCP/Skills/Plugins support.
ACP Registry,Factory Droid,0.206.0,factory-droid-cli,ACP-compatible agent with authentication/distribution metadata,S-001,medium,Registry membership does not prove optional ACP methods or any MCP/Skills/Plugins support.
ACP Registry,fast-agent,0.10.1,fast-agent-acp-agent,ACP-compatible agent with authentication/distribution metadata,S-001,medium,Registry membership does not prove optional ACP methods or any MCP/Skills/Plugins support.
ACP Registry,Gemini CLI,0.57.0,gemini-cli,ACP-compatible agent with authentication/distribution metadata,S-001,medium,Registry membership does not prove optional ACP methods or any MCP/Skills/Plugins support.
