product_id,vendor_id,product_name,category,lifecycle,source_key,notes
claude-code,anthropic,Claude Code,coding-agent,active,S-010,
claude-acp-wrapper,anthropic,Claude Agent ACP Wrapper,adapter,active,S-001,"Registry-distributed wrapper, not native Claude Code ACP conformance."
chatgpt,openai,ChatGPT,general-agent,active,S-020,
codex,openai,Codex,coding-agent,active,S-022,
codex-acp-adapter,openai,Codex ACP Adapter,adapter,active,S-001,
cursor,cursor,Cursor,coding-agent,active,S-030,
vscode-agent-host,microsoft-vscode,Visual Studio Code Agent Host,editor-agent-host,active,S-040,
github-copilot,github,GitHub Copilot,coding-agent-family,active,S-041,
gemini-cli,google,Gemini CLI,coding-agent,active,S-050,
google-antigravity,google,Google Antigravity,coding-agent,active,S-001,
zed,zed,Zed,editor-agent-host,active,S-060,
jetbrains-ai-assistant,jetbrains,JetBrains AI Assistant,ide-agent-host,active,S-070,
junie,jetbrains,Junie,coding-agent,active,S-075,
kiro,aws-kiro,Kiro,coding-agent-family,active,S-080,
cline,cline,Cline,coding-agent-family,active,S-090,
opencode,opencode,OpenCode,coding-agent-family,active,S-100,
continue,continue,Continue,coding-agent-extension,active,S-110,
cascade,cognition,Cascade,desktop-agent,active,S-120,
devin,cognition,Devin,coding-agent-family,active,S-124,
auggie,augment,Auggie,coding-agent-family,active,S-130,
goose,block-goose,goose,agent-family,active,S-140,
hermes,nous-hermes,Hermes Agent,general-agent-family,active,S-150,
openclaw,openclaw,OpenClaw,general-agent-family,active,S-160,
grok-build,xai,Grok Build,coding-agent,active,S-170,
grok-bot,xai,Grok Bot,cloud-general-agent,active,S-173,
nanoclaw,nanoclaw,NanoClaw,personal-agent,active,S-280,
kimi-code,moonshot,Kimi Code CLI,coding-agent,active,S-182,
kimi-cli-legacy,moonshot,Kimi CLI legacy registry distribution,legacy-agent,migrating,S-001,
mistral-vibe,mistral,Mistral Vibe,coding-agent,active,S-190,
qoder-cli,qoder,Qoder CLI,coding-agent,active,S-200,
qwen-code,alibaba-qwen,Qwen Code,coding-agent,active,S-210,
factory-droid,factory,Factory Droid,coding-agent-family,active,S-220,
kilo-code,kilo,Kilo Code,coding-agent-family,active,S-230,
openhands,openhands,OpenHands,agent-family,active,S-240,
replit-agent,replit,Replit Agent,cloud-agent,active,S-250,
replit-mcp,replit,Replit MCP Server,mcp-server,active,S-253,
warp-agent,warp,Warp Agent,agent-family,active,S-261,
roo-code,roo-code,Roo Code,coding-agent-extension,discontinued,S-270,
aider,aider,Aider,coding-agent,active,S-271,
agoragentic-agent,agoragentic,Agoragentic,coding-agent,active,S-001,
amp-agent,amp,Amp ACP wrapper,coding-agent,active,S-001,
autohand-agent,autohand,Autohand Code,coding-agent,active,S-001,
codebuddy-agent,codebuddy,Codebuddy Code,coding-agent,active,S-001,
snowflake-agent,snowflake,Cortex Code,coding-agent,active,S-001,
corust-agent,corust,Corust Agent,coding-agent,active,S-001,
crow-agent,crow,crow-cli,coding-agent,active,S-001,
deepagents-agent,deepagents,DeepAgents,coding-agent,active,S-001,
dimcode-agent,dimcode,DimCode,coding-agent,active,S-001,
dirac-agent,dirac,Dirac,coding-agent,active,S-001,
fast-agent-agent,fast-agent,fast-agent,coding-agent,active,S-001,
zai-agent,zai,GLM Agent,coding-agent,active,S-001,
harn-agent,harn,Harn,coding-agent,active,S-001,
minion-agent,minion,Minion Code,coding-agent,active,S-001,
compass-ai-agent,compass-ai,Nova,coding-agent,active,S-001,
pi-agent,pi,pi ACP,coding-agent,active,S-001,
poolside-agent,poolside,Poolside,coding-agent,active,S-001,
sigit-agent,sigit,siGit Code,coding-agent,active,S-001,
stakpak-agent,stakpak,Stakpak,coding-agent,active,S-001,
vt-code-agent,vt-code,VT Code,coding-agent,active,S-001,
openwork,openwork,OpenWork,desktop-agent-harness,active,S-306,First-party OpenWork desktop product powered by OpenCode.
