assertion_id,surface_id,feature_id,status,evidence_method,implementation_mode,availability,confidence,environment_scope,qualifiers,source_keys,last_verified_at,notes
ASRT-00001,agoragentic-acp-agent,acp.agent,supported,registry-listed,native,ga,medium,default,"Official ACP Registry 1.3.0; registry proves the agent role, not every optional ACP method.",S-001,2026-08-28,
ASRT-00002,agoragentic-acp-agent,acp.transport.stdio,supported,registry-listed,native,ga,medium,default,Registry-distributed ACP agent launcher; exact optional capabilities remain unknown.,S-001,2026-08-28,
ASRT-00003,amp-acp-agent,acp.agent,supported,registry-listed,wrapper,ga,medium,default,"Official ACP Registry 0.9.0; registry proves the agent role, not every optional ACP method.",S-001,2026-08-28,
ASRT-00004,amp-acp-agent,acp.transport.stdio,supported,registry-listed,wrapper,ga,medium,default,Registry-distributed ACP agent launcher; exact optional capabilities remain unknown.,S-001,2026-08-28,
ASRT-00005,auggie-cli,acp.agent,supported,registry-listed,native,ga,medium,default,"Official ACP Registry 0.36.0; registry proves the agent role, not every optional ACP method.",S-001,2026-08-28,
ASRT-00006,auggie-cli,acp.transport.stdio,supported,registry-listed,native,ga,medium,default,Registry-distributed ACP agent launcher; exact optional capabilities remain unknown.,S-001,2026-08-28,
ASRT-00007,autohand-acp-agent,acp.agent,supported,registry-listed,native,ga,medium,default,"Official ACP Registry 0.2.1; registry proves the agent role, not every optional ACP method.",S-001,2026-08-28,
ASRT-00008,autohand-acp-agent,acp.transport.stdio,supported,registry-listed,native,ga,medium,default,Registry-distributed ACP agent launcher; exact optional capabilities remain unknown.,S-001,2026-08-28,
ASRT-00009,claude-agent-acp-wrapper,acp.agent,supported,registry-listed,adapter,ga,medium,default,"Official ACP Registry 0.70.0; registry proves the agent role, not every optional ACP method.",S-001,2026-08-28,
ASRT-00010,claude-agent-acp-wrapper,acp.transport.stdio,supported,registry-listed,adapter,ga,medium,default,Registry-distributed ACP agent launcher; exact optional capabilities remain unknown.,S-001,2026-08-28,
ASRT-00011,cline-cli,acp.agent,supported,registry-listed,native,ga,medium,default,"Official ACP Registry 3.0.60; registry proves the agent role, not every optional ACP method.",S-001,2026-08-28,
ASRT-00012,cline-cli,acp.transport.stdio,supported,registry-listed,native,ga,medium,default,Registry-distributed ACP agent launcher; exact optional capabilities remain unknown.,S-001,2026-08-28,
ASRT-00013,codebuddy-acp-agent,acp.agent,supported,registry-listed,native,ga,medium,default,"Official ACP Registry 2.141.0; registry proves the agent role, not every optional ACP method.",S-001,2026-08-28,
ASRT-00014,codebuddy-acp-agent,acp.transport.stdio,supported,registry-listed,native,ga,medium,default,Registry-distributed ACP agent launcher; exact optional capabilities remain unknown.,S-001,2026-08-28,
ASRT-00015,codex-acp-adapter,acp.agent,supported,registry-listed,adapter,ga,medium,default,"Official ACP Registry 1.7.0; registry proves the agent role, not every optional ACP method.",S-001,2026-08-28,
ASRT-00016,codex-acp-adapter,acp.transport.stdio,supported,registry-listed,adapter,ga,medium,default,Registry-distributed ACP agent launcher; exact optional capabilities remain unknown.,S-001,2026-08-28,
ASRT-00017,snowflake-acp-agent,acp.agent,supported,registry-listed,native,ga,medium,default,"Official ACP Registry 1.0.73; registry proves the agent role, not every optional ACP method.",S-001,2026-08-28,
ASRT-00018,snowflake-acp-agent,acp.transport.stdio,supported,registry-listed,native,ga,medium,default,Registry-distributed ACP agent launcher; exact optional capabilities remain unknown.,S-001,2026-08-28,
ASRT-00019,corust-acp-agent,acp.agent,supported,registry-listed,native,ga,medium,default,"Official ACP Registry 0.6.0; registry proves the agent role, not every optional ACP method.",S-001,2026-08-28,
ASRT-00020,corust-acp-agent,acp.transport.stdio,supported,registry-listed,native,ga,medium,default,Registry-distributed ACP agent launcher; exact optional capabilities remain unknown.,S-001,2026-08-28,
ASRT-00021,crow-acp-agent,acp.agent,supported,registry-listed,native,ga,medium,default,"Official ACP Registry 0.1.24; registry proves the agent role, not every optional ACP method.",S-001,2026-08-28,
ASRT-00022,crow-acp-agent,acp.transport.stdio,supported,registry-listed,native,ga,medium,default,Registry-distributed ACP agent launcher; exact optional capabilities remain unknown.,S-001,2026-08-28,
ASRT-00023,cursor-cli,acp.agent,supported,registry-listed,native,ga,medium,default,"Official ACP Registry 2026.08.11; registry proves the agent role, not every optional ACP method.",S-001,2026-08-28,
ASRT-00024,cursor-cli,acp.transport.stdio,supported,registry-listed,native,ga,medium,default,Registry-distributed ACP agent launcher; exact optional capabilities remain unknown.,S-001,2026-08-28,
ASRT-00025,deepagents-acp-agent,acp.agent,supported,registry-listed,native,ga,medium,default,"Official ACP Registry 0.1.7; registry proves the agent role, not every optional ACP method.",S-001,2026-08-28,
ASRT-00026,deepagents-acp-agent,acp.transport.stdio,supported,registry-listed,native,ga,medium,default,Registry-distributed ACP agent launcher; exact optional capabilities remain unknown.,S-001,2026-08-28,
ASRT-00027,devin-cli,acp.agent,supported,registry-listed,native,ga,medium,default,"Official ACP Registry 3000.6.2; registry proves the agent role, not every optional ACP method.",S-001,2026-08-28,
ASRT-00028,devin-cli,acp.transport.stdio,supported,registry-listed,native,ga,medium,default,Registry-distributed ACP agent launcher; exact optional capabilities remain unknown.,S-001,2026-08-28,
ASRT-00029,dimcode-acp-agent,acp.agent,supported,registry-listed,native,ga,medium,default,"Official ACP Registry 0.3.22; registry proves the agent role, not every optional ACP method.",S-001,2026-08-28,
ASRT-00030,dimcode-acp-agent,acp.transport.stdio,supported,registry-listed,native,ga,medium,default,Registry-distributed ACP agent launcher; exact optional capabilities remain unknown.,S-001,2026-08-28,
ASRT-00031,dirac-acp-agent,acp.agent,supported,registry-listed,native,ga,medium,default,"Official ACP Registry 0.5.1; registry proves the agent role, not every optional ACP method.",S-001,2026-08-28,
ASRT-00032,dirac-acp-agent,acp.transport.stdio,supported,registry-listed,native,ga,medium,default,Registry-distributed ACP agent launcher; exact optional capabilities remain unknown.,S-001,2026-08-28,
ASRT-00033,factory-droid-cli,acp.agent,supported,registry-listed,native,ga,medium,default,"Official ACP Registry 0.206.0; registry proves the agent role, not every optional ACP method.",S-001,2026-08-28,
ASRT-00034,factory-droid-cli,acp.transport.stdio,supported,registry-listed,native,ga,medium,default,Registry-distributed ACP agent launcher; exact optional capabilities remain unknown.,S-001,2026-08-28,
ASRT-00035,fast-agent-acp-agent,acp.agent,supported,registry-listed,native,ga,medium,default,"Official ACP Registry 0.10.1; registry proves the agent role, not every optional ACP method.",S-001,2026-08-28,
ASRT-00036,fast-agent-acp-agent,acp.transport.stdio,supported,registry-listed,native,ga,medium,default,Registry-distributed ACP agent launcher; exact optional capabilities remain unknown.,S-001,2026-08-28,
ASRT-00037,gemini-cli,acp.agent,supported,registry-listed,native,ga,medium,default,"Official ACP Registry 0.57.0; registry proves the agent role, not every optional ACP method.",S-001,2026-08-28,
ASRT-00038,gemini-cli,acp.transport.stdio,supported,registry-listed,native,ga,medium,default,Registry-distributed ACP agent launcher; exact optional capabilities remain unknown.,S-001,2026-08-28,
ASRT-00039,copilot-cli,acp.agent,supported,registry-listed,native,ga,medium,default,"Official ACP Registry 1.0.81; registry proves the agent role, not every optional ACP method.",S-001,2026-08-28,
ASRT-00040,copilot-cli,acp.transport.stdio,supported,registry-listed,native,ga,medium,default,Registry-distributed ACP agent launcher; exact optional capabilities remain unknown.,S-001,2026-08-28,
ASRT-00041,zai-acp-agent,acp.agent,supported,registry-listed,native,ga,medium,default,"Official ACP Registry 1.6.1; registry proves the agent role, not every optional ACP method.",S-001,2026-08-28,
ASRT-00042,zai-acp-agent,acp.transport.stdio,supported,registry-listed,native,ga,medium,default,Registry-distributed ACP agent launcher; exact optional capabilities remain unknown.,S-001,2026-08-28,
ASRT-00043,google-antigravity,acp.agent,supported,registry-listed,native,ga,medium,default,"Official ACP Registry 1.0.0; registry proves the agent role, not every optional ACP method.",S-001,2026-08-28,
ASRT-00044,google-antigravity,acp.transport.stdio,supported,registry-listed,native,ga,medium,default,Registry-distributed ACP agent launcher; exact optional capabilities remain unknown.,S-001,2026-08-28,
ASRT-00045,goose-cli,acp.agent,supported,registry-listed,native,ga,medium,default,"Official ACP Registry 1.48.0; registry proves the agent role, not every optional ACP method.",S-001,2026-08-28,
ASRT-00046,goose-cli,acp.transport.stdio,supported,registry-listed,native,ga,medium,default,Registry-distributed ACP agent launcher; exact optional capabilities remain unknown.,S-001,2026-08-28,
