vendor_id,vendor_name,product_id,product_name,surface_id,surface_name,surface_type,version_or_observation,surface_availability,coverage_tier,feature_id,feature_group,feature_name,primary_status,status_detail,assertion_count,evidence_methods,confidence,environment_scopes,qualifiers,source_keys,notes,last_verified_at
anthropic,Anthropic,claude-code,Claude Code,claude-code-cli,Claude Code CLI / local host,cli,2.1.232+ / observed 2026-08-28,ga,A,mcp.client,MCP,MCP client role,supported,supported,1,documented,high,default,,S-010,,2026-08-28
anthropic,Anthropic,claude-code,Claude Code,claude-code-cli,Claude Code CLI / local host,cli,2.1.232+ / observed 2026-08-28,ga,A,mcp.server,MCP,MCP server role,supported,supported,1,documented,high,default,Claude Code can expose an MCP server surface through its documented serve mode.,S-010,,2026-08-28
anthropic,Anthropic,claude-code,Claude Code,claude-code-cli,Claude Code CLI / local host,cli,2.1.232+ / observed 2026-08-28,ga,A,mcp.revision.2026-07-28,MCP,MCP 2026-07-28,partial,partial,1,documented+reported,mixed,"Claude Code 2.1.232+, direct provider, negotiation enabled","New runtime can negotiate 2026-07-28, but provider/gateway/feature-flag conditions and a reported validation bug limit universal claims.",S-010;S-015,,2026-08-28
anthropic,Anthropic,claude-code,Claude Code,claude-code-cli,Claude Code CLI / local host,cli,2.1.232+ / observed 2026-08-28,ga,A,mcp.tools,MCP,MCP tools,supported,supported,1,documented,high,default,,S-010,,2026-08-28
anthropic,Anthropic,claude-code,Claude Code,claude-code-cli,Claude Code CLI / local host,cli,2.1.232+ / observed 2026-08-28,ga,A,mcp.resources,MCP,MCP resources,supported,supported,1,documented,high,default,,S-010,,2026-08-28
anthropic,Anthropic,claude-code,Claude Code,claude-code-cli,Claude Code CLI / local host,cli,2.1.232+ / observed 2026-08-28,ga,A,mcp.prompts,MCP,MCP prompts,supported,supported,1,documented,high,default,,S-010,,2026-08-28
anthropic,Anthropic,claude-code,Claude Code,claude-code-cli,Claude Code CLI / local host,cli,2.1.232+ / observed 2026-08-28,ga,A,mcp.transport.stdio,MCP,MCP stdio,supported,supported,1,documented,high,default,,S-010,,2026-08-28
anthropic,Anthropic,claude-code,Claude Code,claude-code-cli,Claude Code CLI / local host,cli,2.1.232+ / observed 2026-08-28,ga,A,mcp.transport.streamable-http,MCP,MCP Streamable HTTP,supported,supported,1,documented,high,default,,S-010,,2026-08-28
anthropic,Anthropic,claude-code,Claude Code,claude-code-cli,Claude Code CLI / local host,cli,2.1.232+ / observed 2026-08-28,ga,A,mcp.transport.legacy-sse,MCP,MCP legacy SSE,supported,supported,1,documented,high,default,,S-010,,2026-08-28
anthropic,Anthropic,claude-code,Claude Code,claude-code-cli,Claude Code CLI / local host,cli,2.1.232+ / observed 2026-08-28,ga,A,mcp.transport.websocket-extension,MCP,MCP WebSocket extension,supported,supported,1,documented,high,default,Claude-specific WebSocket extension; not MCP core transport.,S-010,,2026-08-28
anthropic,Anthropic,claude-code,Claude Code,claude-code-cli,Claude Code CLI / local host,cli,2.1.232+ / observed 2026-08-28,ga,A,mcp.auth.oauth,MCP,MCP OAuth,supported,supported,1,documented,high,default,,S-010,,2026-08-28
anthropic,Anthropic,claude-code,Claude Code,claude-code-cli,Claude Code CLI / local host,cli,2.1.232+ / observed 2026-08-28,ga,A,mcp.roots,MCP,MCP roots,supported,supported,1,documented,high,default,,S-010,,2026-08-28
anthropic,Anthropic,claude-code,Claude Code,claude-code-cli,Claude Code CLI / local host,cli,2.1.232+ / observed 2026-08-28,ga,A,mcp.sampling,MCP,MCP sampling,unknown,unknown,0,,none,,,,,
anthropic,Anthropic,claude-code,Claude Code,claude-code-cli,Claude Code CLI / local host,cli,2.1.232+ / observed 2026-08-28,ga,A,mcp.elicitation,MCP,MCP elicitation,supported,supported,1,documented,high,default,,S-010,,2026-08-28
anthropic,Anthropic,claude-code,Claude Code,claude-code-cli,Claude Code CLI / local host,cli,2.1.232+ / observed 2026-08-28,ga,A,mcp.list-changed,MCP,MCP list_changed,supported,supported,1,documented,high,default,,S-010,,2026-08-28
anthropic,Anthropic,claude-code,Claude Code,claude-code-cli,Claude Code CLI / local host,cli,2.1.232+ / observed 2026-08-28,ga,A,mcp.tasks,MCP,MCP tasks,unknown,unknown,0,,none,,,,,
anthropic,Anthropic,claude-code,Claude Code,claude-code-cli,Claude Code CLI / local host,cli,2.1.232+ / observed 2026-08-28,ga,A,mcp.apps,MCP,MCP Apps / interactive UI,unknown,unknown,0,,none,,,,,
anthropic,Anthropic,claude-code,Claude Code,claude-code-cli,Claude Code CLI / local host,cli,2.1.232+ / observed 2026-08-28,ga,A,agent-skills.core,Agent Skills,Agent Skills core,supported,supported,1,documented,high,default,,S-011;S-012;S-013;S-014,,2026-08-28
anthropic,Anthropic,claude-code,Claude Code,claude-code-cli,Claude Code CLI / local host,cli,2.1.232+ / observed 2026-08-28,ga,A,agent-skills.standard-paths,Agent Skills,Agent Skills standard paths,partial,partial,1,documented,high,default,Agent Skills core is supported with Claude-specific locations/extensions; standard .agents path behavior is not the sole discovery mechanism.,S-011,,2026-08-28
anthropic,Anthropic,claude-code,Claude Code,claude-code-cli,Claude Code CLI / local host,cli,2.1.232+ / observed 2026-08-28,ga,A,agent-skills.scripts-assets,Agent Skills,Agent Skills scripts/assets,supported,supported,1,documented,high,default,,S-011;S-012;S-013;S-014,,2026-08-28
anthropic,Anthropic,claude-code,Claude Code,claude-code-cli,Claude Code CLI / local host,cli,2.1.232+ / observed 2026-08-28,ga,A,agent-plugins.core,Agent Plugins,Agent Plugins 1.0 core,unknown,unknown,1,inferred,low,default,Claude has a broader native plugin format; no explicit Agent Plugins 1.0 conformance claim found.,S-003;S-012,,2026-08-28
anthropic,Anthropic,claude-code,Claude Code,claude-code-cli,Claude Code CLI / local host,cli,2.1.232+ / observed 2026-08-28,ga,A,agent-plugins.skills,Agent Plugins,Agent Plugins packaged skills,unknown,unknown,0,,none,,,,,
anthropic,Anthropic,claude-code,Claude Code,claude-code-cli,Claude Code CLI / local host,cli,2.1.232+ / observed 2026-08-28,ga,A,agent-plugins.mcp,Agent Plugins,Agent Plugins packaged MCP,unknown,unknown,0,,none,,,,,
anthropic,Anthropic,claude-code,Claude Code,claude-code-cli,Claude Code CLI / local host,cli,2.1.232+ / observed 2026-08-28,ga,A,agent-plugins.failure-isolation,Agent Plugins,Agent Plugins failure isolation,unknown,unknown,0,,none,,,,,
anthropic,Anthropic,claude-code,Claude Code,claude-code-cli,Claude Code CLI / local host,cli,2.1.232+ / observed 2026-08-28,ga,A,acp.client,ACP,ACP client/host role,unknown,unknown,0,,none,,,,,
