assertion_id,feature_id,feature_name,specification,layer,kind,surface_id,surface_name,product,vendor,surface_type,execution,status,maturity,qualifier,evidence_type,source_ids,observed_at_utc,confidence,verified_runtime
A-0001,mcp.tools,MCP tools,MCP,protocol,server-feature,claude-code,Claude Code,Claude,Anthropic,cli,local,y,ga,Documented support.,documented,S-098,2026-08-28T19:30Z,high,no
A-0002,mcp.resources,MCP resources,MCP,protocol,server-feature,claude-code,Claude Code,Claude,Anthropic,cli,local,y,ga,Documented support.,documented,S-098,2026-08-28T19:30Z,high,no
A-0003,mcp.prompts,MCP prompts,MCP,protocol,server-feature,claude-code,Claude Code,Claude,Anthropic,cli,local,y,ga,Documented support.,documented,S-098,2026-08-28T19:30Z,high,no
A-0004,mcp.sampling,MCP sampling,MCP,protocol,client-feature,claude-code,Claude Code,Claude,Anthropic,cli,local,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-098,2026-08-28T19:30Z,low,no
A-0005,mcp.elicitation,MCP elicitation,MCP,protocol,client-feature,claude-code,Claude Code,Claude,Anthropic,cli,local,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-098,2026-08-28T19:30Z,low,no
A-0006,mcp.roots,MCP roots,MCP,protocol,client-feature,claude-code,Claude Code,Claude,Anthropic,cli,local,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-098,2026-08-28T19:30Z,low,no
A-0007,mcp.tasks,MCP tasks,MCP,protocol,utility,claude-code,Claude Code,Claude,Anthropic,cli,local,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-098,2026-08-28T19:30Z,low,no
A-0008,mcp.stdio,MCP stdio transport,MCP,transport,transport,claude-code,Claude Code,Claude,Anthropic,cli,local,y,ga,Documented support.,documented,S-098,2026-08-28T19:30Z,high,no
A-0009,mcp.streamable-http,MCP Streamable HTTP transport,MCP,transport,transport,claude-code,Claude Code,Claude,Anthropic,cli,local,y,ga,Documented support.,documented,S-098,2026-08-28T19:30Z,high,no
A-0010,mcp.sse-legacy,MCP legacy HTTP+SSE transport,MCP,transport,transport,claude-code,Claude Code,Claude,Anthropic,cli,local,y,ga,Documented support.,documented,S-098,2026-08-28T19:30Z,high,no
A-0011,mcp.oauth,MCP OAuth authorization,MCP,security,auth,claude-code,Claude Code,Claude,Anthropic,cli,local,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-098,2026-08-28T19:30Z,low,no
A-0012,mcp.tools-list-changed,MCP tools/list_changed notification,MCP,protocol,notification,claude-code,Claude Code,Claude,Anthropic,cli,local,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-098,2026-08-28T19:30Z,low,no
A-0013,mcp.apps,MCP Apps interactive UI,MCP Apps,ui,extension,claude-code,Claude Code,Claude,Anthropic,cli,local,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-098,2026-08-28T19:30Z,low,no
A-0014,skills.discovery,Agent Skills discovery,Agent Skills,skills,discovery,claude-code,Claude Code,Claude,Anthropic,cli,local,y,ga,Documented support.,documented,S-099,2026-08-28T19:30Z,high,no
A-0015,skills.progressive,Agent Skills progressive disclosure,Agent Skills,skills,loading,claude-code,Claude Code,Claude,Anthropic,cli,local,y,ga,Documented support.,documented,S-099,2026-08-28T19:30Z,high,no
A-0016,skills.scripts,Agent Skills scripts,Agent Skills,skills,component,claude-code,Claude Code,Claude,Anthropic,cli,local,y,ga,Documented support.,documented,S-099,2026-08-28T19:30Z,high,no
A-0017,skills.references-assets,Agent Skills references/assets,Agent Skills,skills,component,claude-code,Claude Code,Claude,Anthropic,cli,local,y,ga,Documented support.,documented,S-099,2026-08-28T19:30Z,high,no
A-0018,skills.manual-invoke,Agent Skills explicit/manual invocation,Agent Skills,skills,activation,claude-code,Claude Code,Claude,Anthropic,cli,local,y,ga,Documented support.,documented,S-099,2026-08-28T19:30Z,high,no
A-0019,skills.project-scope,Project-scoped Agent Skills,Agent Skills,skills,scope,claude-code,Claude Code,Claude,Anthropic,cli,local,y,ga,Documented support.,documented,S-099,2026-08-28T19:30Z,high,no
A-0020,skills.user-scope,User/global Agent Skills,Agent Skills,skills,scope,claude-code,Claude Code,Claude,Anthropic,cli,local,y,ga,Documented support.,documented,S-099,2026-08-28T19:30Z,high,no
A-0021,plugins.v1,Agent Plugins v1 plugin.json,Agent Plugins,packaging,manifest,claude-code,Claude Code,Claude,Anthropic,cli,local,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-098,2026-08-28T19:30Z,low,no
A-0022,plugins.skills,Agent Plugins skills component,Agent Plugins,packaging,component,claude-code,Claude Code,Claude,Anthropic,cli,local,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-098,2026-08-28T19:30Z,low,no
A-0023,plugins.mcp,Agent Plugins mcp.json component,Agent Plugins,packaging,component,claude-code,Claude Code,Claude,Anthropic,cli,local,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-098,2026-08-28T19:30Z,low,no
A-0024,plugins.marketplace,Plugin marketplace/install flow,Packaging,distribution,marketplace,claude-code,Claude Code,Claude,Anthropic,cli,local,y,ga,Documented support.,documented,S-103,2026-08-28T19:30Z,high,no
A-0025,plugins.vendor-ext,Vendor-specific plugin extensions,Packaging,distribution,extension,claude-code,Claude Code,Claude,Anthropic,cli,local,y,ga,Documented support.,documented,S-103,2026-08-28T19:30Z,high,no
A-0026,instructions.agents-md,AGENTS.md root instructions,AGENTS.md,instructions,file,claude-code,Claude Code,Claude,Anthropic,cli,local,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-098,2026-08-28T19:30Z,low,no
A-0027,instructions.agents-md-nested,Nested AGENTS.md instructions,AGENTS.md,instructions,file,claude-code,Claude Code,Claude,Anthropic,cli,local,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-098,2026-08-28T19:30Z,low,no
A-0028,instructions.claude-md,CLAUDE.md compatibility,Vendor convention,instructions,file,claude-code,Claude Code,Claude,Anthropic,cli,local,y,ga,Documented support.,documented,S-103,2026-08-28T19:30Z,high,no
A-0029,instructions.vendor-rules,Vendor-native rules/instructions,Vendor convention,instructions,rules,claude-code,Claude Code,Claude,Anthropic,cli,local,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-098,2026-08-28T19:30Z,low,no
A-0030,hooks,Lifecycle hooks,Vendor convention,automation,hooks,claude-code,Claude Code,Claude,Anthropic,cli,local,y,ga,Documented support.,documented,S-103,2026-08-28T19:30Z,high,no
A-0031,subagents,Subagents,Vendor convention,agents,composition,claude-code,Claude Code,Claude,Anthropic,cli,local,y,ga,Documented support.,documented,S-103,2026-08-28T19:30Z,high,no
A-0032,custom-agents,Custom agent definitions,Vendor convention,agents,composition,claude-code,Claude Code,Claude,Anthropic,cli,local,y,ga,Documented support.,documented,S-103,2026-08-28T19:30Z,high,no
A-0033,permissions,Granular agent/tool permissions,Vendor convention,security,permissions,claude-code,Claude Code,Claude,Anthropic,cli,local,y,ga,Documented support.,documented,S-103,2026-08-28T19:30Z,high,no
A-0034,headless,Headless/non-interactive agent mode,Vendor convention,runtime,execution,claude-code,Claude Code,Claude,Anthropic,cli,local,y,ga,Documented support.,documented,S-103,2026-08-28T19:30Z,high,no
A-0035,acp.client,ACP client/editor role,ACP,interoperability,client,claude-code,Claude Code,Claude,Anthropic,cli,local,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-098,2026-08-28T19:30Z,low,no
A-0036,acp.agent,ACP agent/server role,ACP,interoperability,agent,claude-code,Claude Code,Claude,Anthropic,cli,local,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-098,2026-08-28T19:30Z,low,no
A-0037,ahp.client,AHP client role,AHP,interoperability,client,claude-code,Claude Code,Claude,Anthropic,cli,local,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-098,2026-08-28T19:30Z,low,no
A-0038,ahp.host,AHP host role,AHP,interoperability,host,claude-code,Claude Code,Claude,Anthropic,cli,local,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-098,2026-08-28T19:30Z,low,no
A-0039,a2a,A2A protocol endpoint/client,A2A,interoperability,agent-agent,claude-code,Claude Code,Claude,Anthropic,cli,local,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-098,2026-08-28T19:30Z,low,no
A-0040,ag-ui,AG-UI frontend/runtime bridge,AG-UI,interoperability,agent-ui,claude-code,Claude Code,Claude,Anthropic,cli,local,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-098,2026-08-28T19:30Z,low,no
A-0041,webmcp,WebMCP site tools,WebMCP,web,browser,claude-code,Claude Code,Claude,Anthropic,cli,local,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-098,2026-08-28T19:30Z,low,no
A-0042,nlweb,NLWeb/MCP website interaction,NLWeb,web,semantic-web,claude-code,Claude Code,Claude,Anthropic,cli,local,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-098,2026-08-28T19:30Z,low,no
A-0043,mcp.tools,MCP tools,MCP,protocol,server-feature,claude-desktop,Claude Desktop,Claude,Anthropic,desktop,local,y,ga,Documented support.,documented,S-098,2026-08-28T19:30Z,high,no
A-0044,mcp.resources,MCP resources,MCP,protocol,server-feature,claude-desktop,Claude Desktop,Claude,Anthropic,desktop,local,y,ga,Documented support.,documented,S-098,2026-08-28T19:30Z,high,no
A-0045,mcp.prompts,MCP prompts,MCP,protocol,server-feature,claude-desktop,Claude Desktop,Claude,Anthropic,desktop,local,y,ga,Documented support.,documented,S-098,2026-08-28T19:30Z,high,no
A-0046,mcp.sampling,MCP sampling,MCP,protocol,client-feature,claude-desktop,Claude Desktop,Claude,Anthropic,desktop,local,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-098,2026-08-28T19:30Z,low,no
A-0047,mcp.elicitation,MCP elicitation,MCP,protocol,client-feature,claude-desktop,Claude Desktop,Claude,Anthropic,desktop,local,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-098,2026-08-28T19:30Z,low,no
A-0048,mcp.roots,MCP roots,MCP,protocol,client-feature,claude-desktop,Claude Desktop,Claude,Anthropic,desktop,local,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-098,2026-08-28T19:30Z,low,no
