vendor_name,product_name,surface_id,surface_name,surface_type,version_or_observation,coverage_tier,mcp.client,mcp.server,mcp.tools,mcp.resources,mcp.prompts,mcp.transport.stdio,mcp.transport.streamable-http,mcp.auth.oauth,mcp.apps,agent-skills.core,agent-plugins.core,acp.client,acp.agent,instructions.agents-md,hooks,subagents,plugins.native,automation.headless,automation.cloud-agent,governance.org-policy
Anthropic,Claude Code,claude-code-cli,Claude Code CLI / local host,cli,2.1.232+ / observed 2026-08-28,A,supported,supported,supported,supported,supported,supported,supported,supported,unknown,supported,unknown,unknown,unknown,unknown,supported,supported,supported,unknown,unknown,unknown
Anthropic,Claude Agent ACP Wrapper,claude-agent-acp-wrapper,Claude Agent ACP wrapper,acp-adapter,0.70.0,C,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,supported,unknown,unknown,unknown,unknown,unknown,unknown,unknown
OpenAI,ChatGPT,chatgpt-web,ChatGPT web,web,hosted observed 2026-08-28,A,supported,unknown,supported,unknown,unknown,unsupported,supported,supported,supported,supported,supported,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
OpenAI,ChatGPT,chatgpt-desktop,ChatGPT desktop / Codex host,desktop,observed 2026-08-28,A,supported,unknown,supported,unknown,unknown,supported,supported,supported,unknown,supported,supported,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
OpenAI,ChatGPT,chatgpt-mobile,ChatGPT mobile,mobile,observed 2026-08-28,A,supported,unknown,supported,unknown,unknown,unsupported,supported,supported,unknown,supported,supported,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
OpenAI,Codex,codex-cli,Codex CLI,cli,observed 2026-08-28,A,supported,partial,supported,unknown,unknown,supported,supported,supported,unknown,supported,supported,unknown,unknown,supported,supported,supported,supported,supported,unknown,unknown
OpenAI,Codex,codex-ide,Codex IDE extension,ide-extension,observed 2026-08-28,A,supported,unknown,supported,unknown,unknown,supported,supported,supported,unknown,supported,unsupported,unknown,unknown,supported,supported,supported,unknown,unknown,unknown,unknown
OpenAI,Codex ACP Adapter,codex-acp-adapter,Codex ACP adapter,acp-adapter,1.7.0,C,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,supported,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Cursor,Cursor,cursor-editor,Cursor editor agent,native-editor-agent,observed 2026-08-28,A,supported,unknown,supported,supported,supported,supported,supported,supported,supported,supported,supported,unknown,unknown,supported,supported,supported,supported,unknown,unknown,partial
Cursor,Cursor,cursor-cli,Cursor CLI agent,cli,2026.08.11,A,supported,unknown,supported,supported,supported,supported,supported,supported,supported,supported,supported,unknown,supported,supported,supported,supported,supported,supported,unknown,unknown
Cursor,Cursor,cursor-cloud-agent,Cursor Cloud Agent,cloud-agent,hosted observed 2026-08-28,A,supported,unknown,supported,unknown,unknown,supported,supported,supported,unknown,unknown,unknown,unknown,unknown,unknown,partial,supported,unknown,unknown,supported,supported
Microsoft / Visual Studio Code,Visual Studio Code Agent Host,vscode-agent-host,VS Code agent/plugin host,ide-host,1.133,A,supported,unknown,supported,supported,supported,supported,supported,unknown,unknown,supported,supported,unknown,unknown,unknown,supported,unknown,supported,unknown,unknown,unknown
GitHub,GitHub Copilot,copilot-vscode,GitHub Copilot in VS Code,ide-extension,VS Code 1.133 / observed 2026-08-28,A,supported,unknown,supported,supported,supported,supported,supported,unknown,unknown,supported,supported,unknown,unknown,unknown,supported,unknown,unknown,unknown,unknown,supported
GitHub,GitHub Copilot,copilot-cli,GitHub Copilot CLI,cli,1.0.81 registry observation,B,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,supported,unknown,unknown,unknown,unknown,unknown,unknown,unknown
GitHub,GitHub Copilot,copilot-cloud-agent,GitHub Copilot cloud agent,cloud-agent,hosted observed 2026-08-28,A,supported,unknown,supported,unsupported,unsupported,supported,supported,unsupported,unknown,supported,unknown,unknown,unknown,unknown,supported,unknown,unknown,unknown,supported,supported
GitHub,GitHub Copilot,copilot-code-review,GitHub Copilot code review,cloud-code-review,hosted observed 2026-08-28,A,supported,unknown,supported,unknown,unknown,unknown,unknown,unknown,unknown,supported,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,supported,unknown
Google,Gemini CLI,gemini-cli,Gemini CLI,cli,0.57.0 registry / observed 2026-08-28,A,supported,unknown,supported,supported,supported,supported,supported,supported,unknown,partial,unknown,unknown,supported,unknown,supported,supported,unknown,unknown,unknown,unknown
Google,Google Antigravity,google-antigravity,Google Antigravity ACP agent,acp-agent,1.0.0,C,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,supported,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Zed Industries,Zed,zed-native-agent,Zed native Agent,native-editor-agent,observed 2026-08-28,A,supported,unknown,supported,unsupported,supported,unknown,unknown,supported,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Zed Industries,Zed,zed-acp-host,Zed external-agent ACP host,acp-client,observed 2026-08-28,A,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,supported,unknown,unknown,unknown,unknown,unknown,unknown,unknown,partial
JetBrains,JetBrains AI Assistant,jetbrains-native-agent,JetBrains native AI Assistant,ide-agent,observed 2026-08-28,A,supported,supported,supported,unknown,unknown,supported,supported,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
JetBrains,JetBrains AI Assistant,jetbrains-acp-host,JetBrains ACP host,acp-client,observed 2026-08-28,A,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,partial,unknown,supported,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
JetBrains,Junie,junie-acp-agent,Junie ACP agent,acp-agent,3032.2.0,B,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,supported,unknown,unknown,unknown,unknown,unknown,unknown,unknown
AWS / Kiro,Kiro,kiro-ide,Kiro IDE,ide-agent,observed 2026-08-28,A,supported,unknown,supported,unknown,unknown,supported,supported,unknown,unknown,supported,supported,unknown,unknown,unknown,supported,unknown,supported,unknown,unknown,supported
AWS / Kiro,Kiro,kiro-cli,Kiro CLI 3,cli,3.x / observed 2026-08-28,A,supported,unknown,supported,unknown,unknown,supported,supported,unknown,unknown,supported,supported,unknown,unknown,unknown,supported,unknown,supported,supported,unknown,unknown
AWS / Kiro,Kiro,kiro-web,Kiro Web,web-agent,hosted observed 2026-08-28,A,supported,unknown,supported,unknown,unknown,unknown,unknown,unknown,unknown,supported,supported,unknown,unknown,unknown,unsupported,unknown,unknown,unknown,unknown,unknown
AWS / Kiro,Kiro,kiro-mobile,Kiro Mobile,mobile-agent,preview observed 2026-08-28,A,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,supported,unsupported,unknown,unknown,unknown,unsupported,unknown,unknown,unknown,unknown,unknown
Cline,Cline,cline-vscode,Cline VS Code extension,ide-extension,observed 2026-08-28,A,supported,unknown,supported,unknown,unknown,supported,supported,unknown,unknown,supported,unknown,unknown,unknown,unknown,supported,supported,unknown,unknown,unknown,unknown
Cline,Cline,cline-cli,Cline CLI,cli,3.0.60,A,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,supported,unknown,unknown,unknown,unknown,supported,unknown,unknown
OpenCode,OpenCode,opencode-cli,OpenCode CLI/TUI,cli,1.18.25,A,supported,unknown,supported,unknown,unknown,supported,supported,supported,unknown,supported,unknown,unknown,supported,unknown,unknown,supported,supported,supported,unknown,unknown
OpenCode,OpenCode,opencode-desktop,OpenCode desktop,desktop,observed 2026-08-28,A,supported,unknown,supported,unknown,unknown,supported,supported,supported,unknown,supported,unknown,unknown,unknown,unknown,unknown,supported,supported,unknown,unknown,unknown
OpenCode,OpenCode,opencode-ide,OpenCode IDE extension,ide-extension,observed 2026-08-28,A,supported,unknown,supported,unknown,unknown,supported,supported,supported,unknown,supported,unknown,unknown,unknown,unknown,unknown,supported,supported,unknown,unknown,unknown
